npi,communityId
1376544767,1395
1376570010,1384
1376585174,1390
1376616771,1391
1376635052,1388
1376662718,1387
1386600906,1388
1386608768,1387
1386615540,1400
1386639219,1386
1386663144,1387
1386664456,1395
1386664662,1384
1386672335,1384
1386686137,1390
1386689636,1393
1386698058,1388
1386707446,1385
1386710051,1388
1386734069,1384
1386820413,1386
1386878957,1395
1386901536,1400
1396003356,1386
1396004099,1386
1396736963,1393
1396737177,1395
1396739140,1385
1396751749,1400
1396753356,1387
1396784971,1387
1396799979,1390
1396832168,1384
1396848305,1384
1396882205,1384
1396906657,1386
1396910600,1386
1396932463,1395
1396965034,1384
1407033632,1384
1407057946,1384
1407090236,1391
1407141302,1388
1407141773,1388
1407274251,1388
1407811722,1393
1407838931,1384
1407848534,1408
1407880016,1390
1407888357,1395
1407890593,1400
1407893464,1399
1407896749,1390
1407903370,1384
1407943517,1384
1417004136,1387
1417011008,1391
1417040205,1390
1417046806,1395
1417049834,1384
1417056854,1384
1417086596,1385
1417131715,1386
1417169319,1386
1417190711,1384
1417191453,1384
1417273061,1386
1417368770,1384
1417900820,1388
1417903378,1386
1417938432,1384
1417938846,1391
1417944760,1385
1417948076,1384
1417951302,1387
1417956830,1393
1417964628,1386
1417970831,1384
1417983214,1390
1417990367,1386
1417992397,1386
1427008416,1391
1427023605,1400
1427023894,1391
1427040021,1391
1427043645,1386
1427046622,1400
1427051432,1393
1427052224,1393
1427066489,1386
1427073451,1395
1427074210,1386
1427079946,1385
1427180868,1395
1427224278,1384
1427251859,1387
1427444058,1390
1427445220,1390
1437121092,1391
1437138641,1400
1437161221,1384
1437186418,1384
1437206232,1384
1437206315,1386
1437206323,1384
1437229572,1386
1437233541,1384
1437260296,1384
1437316106,1388
1437392917,1390
1437441847,1386
1437449766,1400
1447204961,1393
1447212964,1395
1447242565,1386
1447245725,1386
1447256490,1391
1447284864,1395
1447288055,1387
1447296959,1391
1447307251,1391
1447342860,1384
1447358395,1384
1447366075,1391
1447382221,1388
1447440177,1390
1447562210,1384
1447571658,1391
1447639398,1395
1447679881,1385
1457310286,1395
1457317257,1395
1457330649,1400
1457339707,1384
1457346132,1386
1457355257,1393
1457391229,1387
1457428195,1400
1457435562,1384
1457437782,1387
1457448557,1386
1457455693,1387
1457465668,1400
1457640922,1386
1457746331,1388
1457795239,1391
1467406314,1388
1467418087,1388
1467418871,1395
1467428680,1388
1467447664,1386
1467456228,1393
1467491670,1384
1467494591,1393
1467498279,1391
1467501999,1386
1467544874,1384
1467545541,1400
1467549899,1384
1467645903,1399
1467660852,1384
1467763458,1391
1467764639,1391
1477548154,1386
1477548675,1386
1477595593,1400
1477598712,1393
1477614949,1384
1477640589,1384
1477963999,1385
1487067963,1388
1487096459,1395
1487600698,1395
1487608964,1395
1487635777,1400
1487644522,1385
1487672291,1387
1487674016,1391
1487678835,1384
1487701280,1384
1487723342,1391
1487738597,1384
1487749446,1387
1487778635,1391
1487854311,1386
1487881041,1384
1487947396,1384
1497067235,1386
1497070932,1384
1497175632,1393
1497724124,1386
1497730501,1386
1497732762,1388
1497738462,1387
1497758445,1399
1497789556,1393
1497791602,1386
1497793731,1390
1497794291,1390
1497802219,1384
1497847800,1384
1497893556,1395
1508002015,1391
1508008053,1388
1508039751,1384
1508182155,1384
1508247016,1390
1508276213,1390
1508821026,1387
1508822982,1384
1508830407,1386
