"","to_npi","from_npi","patient_count","transaction_count","average_day_wait","std_day_wait","hospital_type","pcp_class","pcp_special","to_organization","full_name","credential_text","middle_name","name_prefix_text","name_suffix_text","pcp_communityid","hospital_communityid"
"80",1023055126,1104890003,49,52,46.673,56.673,"General Acute Care Hospital","Internal Medicine","Pulmonary Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","BRADLEY RUST","MD","S","NULL","NULL",1391,1386
"81",1023055126,1861452138,60,66,46.455,55.612,"General Acute Care Hospital","Internal Medicine","Pulmonary Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","MARY MCELANEY","MD","AGNES","NULL","NULL",1386,1386
"82",1023055126,1336230424,52,77,42.455,53.592,"General Acute Care Hospital","Internal Medicine","Hematology & Oncology","HCA HEALTH SERVICES OF TENNESSEE, INC.","WILLIAM LIGGETT","MD","H","NULL","NULL",1391,1386
"83",1023055126,1497067235,193,244,2.41,20.09,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","FELICIA SCALES","D.O.","LANEASE","DR.","NULL",1386,1386
"84",1023055126,1881646073,60,102,26.314,50.11,"General Acute Care Hospital","Internal Medicine","Medical Oncology","HCA HEALTH SERVICES OF TENNESSEE, INC.","JAMES PEYTON","M.D.","D","NULL","NULL",1400,1386
"85",1023055126,1922048883,303,549,0.051,0.304,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","JENNIFER LEE","MD","P","NULL","NULL",1386,1386
"86",1023055126,1538385091,300,835,2.683,11.639,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","WILLIAM LIZARRAGA","M.D.","ANTHONY","DR.","NULL",1386,1386
"87",1023055126,1386664456,201,621,2.541,14.128,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","SARA OWEN","MD","ELIZABETH","DR.","NULL",1395,1386
"88",1023055126,1417964628,100,263,21.034,45.852,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","JUDSON ROGERS","MD","E","NULL","NULL",1386,1386
"89",1023055126,1265464499,44,62,37.5,46.811,"General Acute Care Hospital","Internal Medicine","Hematology & Oncology","HCA HEALTH SERVICES OF TENNESSEE, INC.","LAURA BLAKELY","MD","JOHNETTA","NULL","NULL",1400,1386
"90",1023055126,1326056839,163,345,1.606,11.731,"General Acute Care Hospital","Family Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","JOSHUA HIXSON","M.D","M","NULL","NULL",1386,1386
"91",1023055126,1922444363,477,595,0.103,1.78,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","EVERALD WALKER","MD","URIAH","DR.","JR.",1386,1386
"92",1023055126,1801888060,65,87,36.011,47.848,"General Acute Care Hospital","Internal Medicine","Nephrology","HCA HEALTH SERVICES OF TENNESSEE, INC.","VINITA ANAND","M.D.","NULL","NULL","NULL",1393,1386
