npi,communityId
1407903370,1382
1407943517,1382
1417004136,1413
1417011008,1389
1417040205,1388
1417046806,1393
1417049834,1382
1417056854,1382
1417086596,1381
1417131715,1384
1417169319,1384
1417190711,1382
1417191453,1382
1417273061,1384
1417368770,1382
1417900820,1386
1417903378,1384
1417938432,1382
1417938846,1389
1417944760,1381
1417948076,1382
1417951302,1413
1417956830,1391
1417964628,1384
1417970831,1382
1417983214,1388
1417990367,1384
1417992397,1384
1427008416,1389
1427023605,1396
1427023894,1389
1427040021,1389
1427043645,1384
1427046622,1396
1427051432,1391
1427052224,1391
1427066489,1384
1427073451,1393
1427074210,1384
1427079946,1381
1427180868,1393
1427224278,1382
1427251859,1413
1427444058,1388
1427445220,1388
1437121092,1389
1437138641,1396
1437161221,1382
1437186418,1382
1437206232,1382
1437206315,1384
1437206323,1382
1437229572,1384
1437233541,1382
1437260296,1382
1437316106,1386
1437392917,1388
1437441847,1384
1437449766,1396
1447204961,1391
1447212964,1393
1447242565,1384
1447245725,1384
1447256490,1389
1447284864,1393
1447288055,1413
1447296959,1389
1447307251,1389
1447342860,1382
1447358395,1382
1447366075,1389
1447382221,1386
1447440177,1388
1447562210,1382
1447571658,1389
1447639398,1393
1447679881,1381
1457310286,1393
1457317257,1393
1457330649,1396
1457339707,1382
1457346132,1384
1457355257,1391
1457391229,1413
1457428195,1396
1457435562,1382
1457437782,1413
1457448557,1384
1457455693,1413
1457465668,1396
1457640922,1384
1457746331,1386
1457795239,1389
1467406314,1386
1467418087,1386
1467418871,1393
1467428680,1386
1467447664,1384
1467456228,1391
1467491670,1382
1467494591,1391
1467498279,1389
1467501999,1384
1467544874,1382
1467545541,1396
1467549899,1382
1467645903,1397
1467660852,1382
1467763458,1389
1467764639,1389
1477548154,1384
1477548675,1384
1477595593,1396
1477598712,1391
1477614949,1382
1477640589,1382
1477963999,1381
1487067963,1386
1487096459,1393
1487600698,1393
1487608964,1393
1487635777,1396
1487644522,1381
1487672291,1413
1487674016,1389
1487678835,1382
1487701280,1382
1487723342,1389
1487738597,1382
1487749446,1413
1487778635,1389
1487854311,1384
1487881041,1382
1487947396,1382
1497067235,1384
1497070932,1382
1497175632,1391
1497724124,1384
1497730501,1384
1497732762,1386
1497738462,1413
1497758445,1397
1497789556,1391
1497791602,1384
1497793731,1388
1497794291,1388
1497802219,1382
1497847800,1382
1497893556,1393
1508002015,1389
1508008053,1386
1508039751,1382
1508182155,1382
1508247016,1388
1508276213,1388
1508821026,1413
1508822982,1382
1508830407,1384
1508838400,1389
1508839622,1382
1508862939,1391
1508884875,1396
1508890286,1388
1508913302,1382
1508916586,1389
1508935776,1389
1508961996,1382
1518014323,1384
1518054626,1382
1518066950,1382
1518068832,1382
1518143122,1413
1518161009,1403
1518178441,1388
1518346469,1388
1518398437,1393
1518914050,1393
1518919000,1393
1518952852,1384
1518959311,1382
1518974732,1406
1518976315,1389
1518992940,1382
1528005667,1388
1528055381,1388
1528061223,1393
1528090214,1393
1528105616,1393
1528109832,1382
1528115482,1403
1528122595,1382
1528155660,1382
1528174752,1382
1528212156,1382
1528295607,1382
1528404944,1391
1528487113,1388
1538103692,1391
1538104526,1396
1538112495,1391
1538114434,1389
